Year,Country,Winner
1886,United States,Wilhelm Steinitz
1889,Austria-Hungary,Wilhelm Steinitz
1890,Austria-Hungary,Wilhelm Steinitz
1892,Austria-Hungary,Wilhelm Steinitz
1894,Germany,Emanuel Lasker
1896,Germany,Emanuel Lasker
1907,Germany,Emanuel Lasker
1908,Germany,Emanuel Lasker
1910,Germany,Emanuel Lasker
1911,Germany,Emanuel Lasker
1921,Cuba,José Raúl Capablanca
1927,France,Alexander Alekhine
1929,France,Alexander Alekhine
1934,France,Alexander Alekhine
1935,Netherlands,Max Euwe
1937,France,Alexander Alekhine
1948,Soviet Union,Mikhail Botvinnik
1951,Soviet Union,Mikhail Botvinnik
1954,Soviet Union,Mikhail Botvinnik
1957,Soviet Union,Vasily Smyslov
1958,Soviet Union,Mikhail Botvinnik
1960,Soviet Union,Mikhail Tal
1961,Soviet Union,Mikhail Botvinnik
1963,Soviet Union,Tigran Petrosian
1966,Soviet Union,Tigran Petrosian
1969,Soviet Union,Boris Spassky
1972,United States,Bobby Fischer
1975,Soviet Union,Anatoly Karpov
1978,Soviet Union,Anatoly Karpov
1981,Soviet Union,Anatoly Karpov
1984,Soviet Union,Anatoly Karpov
1985,Soviet Union,Garry Kasparov
1986,Soviet Union,Garry Kasparov
1987,Soviet Union,Garry Kasparov
1990,Russia,Garry Kasparov
1993,Russia,Garry Kasparov
1995,Russia,Garry Kasparov
2000,Russia,Vladimir Kramnik
2004,Russia,Vladimir Kramnik
2006,Russia,Vladimir Kramnik
2007,India,Viswanathan Anand
2008,India,Viswanathan Anand
2010,India,Viswanathan Anand
2012,India,Viswanathan Anand
2013,Norway,Magnus Carlsen
2014,Norway,Magnus Carlsen
2016,Norway,Magnus Carlsen
2018,Norway,Magnus Carlsen
2021,Norway,Magnus Carlsen
2023,Norway,Magnus Carlsen
2024,India,Gukesh Dommaraju
